common_name,scientific_name,category
Brown-Lined Dart Moth,Anaplectoides brunneomedia,Other Moths
Brown-Lined Sallow Moth,Sympistis badistriga,Other Moths
Brown-Spotted Mantleslug,Philomycus venustus,Terrestrial Snails
Bruner'S Mason Bee,Osmia bruneri,Mason Bees
Bryant'S Bizarre Caddisfly,Lepidostoma bryanti,Caddisflies
Buchholz'S Gray,Hypomecis buchholzaria,Other Moths
Budded Threetooth,Triodopsis tennesseensis,Terrestrial Snails
Buff Supercoil,Paravitrea grimmi,Terrestrial Snails
Buff-Breasted Sandpiper,Calidris subruficollis,Birds
Buffalo Pebblesnail,Gillia altilis,Freshwater Snails
Buffalo Springs Caddisfly,Hydropsyche etnieri,Caddisflies
Bufflehead,Bucephala albeola,Birds
Bufflehead Mason Bee,Osmia bucephala,Mason Bees
Bugle Sprite,Dilatata dilatata,Freshwater Snails
Bull Chub,Nocomis raneyi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Bullhead Minnow,Pimephales vigilax,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Bumblebee-Like Digger Bee,Anthophora bomboides,Digger Bees
Burdock Borer Moth,Papaipema cataphracta,Papaipema Moths
Burkes Garden Cave Isopod,Conasellus burkensis,Isopods
Burnsville Cove Cave Amphipod,Stygobromus conradi,Amphipods
Buttoned Net-Spinning Caddisfly,Hydropsyche sparna,Caddisflies
Cabbage White,Pieris rapae,Butterflies and Skippers
Caddisfly,Agapetus kirchneri,Caddisflies
Cahabsand-Filtering Mayfly,Homoeoneuria cahabensis,Mayflies
Calico Pennant,Celithemis elisa,Dragonflies and Damselflies
Californicuckoo Bee,Brachymelecta californica,Other Bees
Callirhoe Bee,Melissodes tepaneca,Other Bees
Calm Pitot-Tube Caddisfly,Phylocentropus placidus,Caddisflies
Camphorweed Flower Moth,Schinia nubila,Other Moths
Camphorweed Owlet Moth,Cucullia alfarata,Other Moths
Canaddarner,Aeshna canadensis,Dragonflies and Damselflies
Canadgoose,Branta canadensis,Birds
Canadwarbler,Cardellina canadensis,Birds
Cancelled Long-Horned Caddisfly,Ceraclea cancellata,Caddisflies
Candy Darter,Etheostoma osburni,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Cane Boring Noctuid,Acrapex relicta,Other Moths
Cane Wainscot,Leucania calidior,Other Moths
Canvasback,Aythya valisineria,Birds
Cape May Warbler,Setophaga tigrina,Birds
Capital Aregroundwater Amphipod,Stygobromus sextarius,Amphipods
Capital Vertigo,Vertigo oscariana,Terrestrial Snails
Carabid Beetle,Pseudaptinus lecontei,Ground Beetles
Carinate Slitmouth,Stenotrema spinosum,Terrestrial Snails
Carlotta'S Tiger Moth,Apantesis carlotta,Tiger Moths
Carlson'S Polycentropus Caddisfly,Polycentropus carlsoni,Caddisflies
Carolinarmored Mayfly,Baetisca carolina,Mayflies
Carolinburying Beetle,Nicrophorus carolinus,Other Beetles
Carolinchickadee,Poecile carolinensis,Birds
Carolindarter,Etheostoma collis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Carolinfantail Darter,Etheostoma brevispinum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Carolinflat-Headed Mayfly,Stenacron carolina,Mayflies
Carolinforestfly,Soyedina carolinensis,Stoneflies
Carolinfree-Living Caddisfly,Rhyacophila carolina,Caddisflies
Carolinmantleslug,Philomycus carolinianus,Terrestrial Snails
Carolinneedlefly,Leuctra carolinensis,Stoneflies
Carolinparakeet,Conuropsis carolinensis,Birds
Carolinphysa,Physella carolinae,Freshwater Snails
Carolinpitot-Tube Caddisfly,Phylocentropus carolinus,Caddisflies
Carolinroadside-Skipper,Amblyscirtes carolina,Butterflies and Skippers
Carolinsallfly,Sweltsa mediana,Stoneflies
Carolinsalmonfly,Pteronarcys scotti,Stoneflies
Carolinsatyr,Hermeuptychia sosybius,Butterflies and Skippers
Carolinsphinx,Manduca sexta,Sphinx Moths
Carolinstone,Acroneuria carolinensis,Stoneflies
Carolintrumpet-Net Caddisfly,Polycentropus carolinensis,Caddisflies
Carolinwren,Thryothorus ludovicianus,Birds
Carpenter Frog,Lithobates virgatipes,Amphibians
Carpenter-Mimic Leaf-Cutter Bee,Megachile xylocopoides,Leafcutter Bees
Carpenter'S Free-Living Caddisfly,Rhyacophila carpenteri,Caddisflies
Carpenterworm Moth,Givira francesca,Other Moths
Carter Threetooth,Triodopsis anteridon,Terrestrial Snails
Carved Glyph Snail,Glyphyalinia indentata,Terrestrial Snails
Caspian Tern,Hydroprogne caspia,Birds
Cassius Blue,Leptotes cassius,Butterflies and Skippers
Catalphornworm,Ceratomia catalpae,Sphinx Moths
Cattle Egret,Ardea ibis,Birds
Cave Obligate Isopod,Ligidium elrodii,Isopods
Cave Salamander,Eurycea lucifuga,Amphibians
Cave Springs Isopod,Lirceus fonticulus,Isopods
Cecropisilkmoth,Hyalophora cecropia,Giant Silkworm and Royal Moths
Cedar Waxwing,Bombycilla cedrorum,Birds
Cedars Spring Isopod,Lirceus cedrus,Isopods
Celery Looper Moth,Anagrapha falcifera,Other Moths
Cellophane Bee,Colletes ciliatus,Other Bees
Central Flat-Headed Mayfly,Rhithrogena manifesta,Mayflies
Central Forestfly,Prostoia completa,Stoneflies
Central Stone,Acroneuria frisoni,Stoneflies
Central Trumpet-Net Caddisfly,Polycentropus centralis,Caddisflies
Ceraclean Caddisfly,Ceraclea nepha,Caddisflies
Cerulean Warbler,Setophaga cerulea,Birds
Chain Fern Borer Moth,Papaipema stenocelis,Papaipema Moths
Chain Pickerel,Esox niger,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Chainback Darter,Percina nevisensis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Changeable Mantleslug,Megapallifera mutabilis,Terrestrial Snails
Channel Catfish,Ictalurus punctatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Channel Darter,Percina copelandi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Charming Underwing Moth,Catocala blandula,Underwing Moths
Charred Dagger Moth,Acronicta brumosa,Other Moths
Checkered Beetle,Trichodes apivorus,Trichodes Checkered Beetles
Checkered White,Pontia protodice,Butterflies and Skippers
Cherry Gall Azure,Celastrina serotina,Butterflies and Skippers
Cherrystone Drop,Hendersonia occulta,Terrestrial Snails
Chesapeake Ambersnail,Oxyloma subeffusum,Terrestrial Snails
Chesapeake Logperch,Percina bimaculata,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Chestnut Clearwing Moth,Synanthedon castaneae,Other Moths
Chestnut Leaf Miner Moth,Coptotriche perplexa,Other Moths
Chestnut Schizura,Schizura badia,Notodontid Moths
Chestnut-Sided Warbler,Setophaga pensylvanica,Birds
Chicken Turtle,Deirochelys reticularia,Turtles
Chimney Swift,Chaetura pelagica,Birds
Chinese Mysterysnail,Cipangopaludina chinensis,Freshwater Snails
Chipping Sparrow,Spizella passerina,Birds
Chocolate Moth,Argyrostrotis deleta,Other Moths
Chocolate Prominent Moth,Peridea ferruginea,Notodontid Moths
Chosen Sallow,Psaphida electilis,Other Moths
Chowanoke Crayfish,Faxonius virginiensis,Crayfishes
Chuck-Will'S-Widow,Antrostomus carolinensis,Birds
Cinereus Shrew,Sorex cinereus,Mammals
Clamshell Long-Horned Caddisfly,Triaenodes perna,Caddisflies
Clapper Rail,Rallus crepitans,Birds
Clavated Microcaddisfly,Ithytrichia clavata,Caddisflies
Clear Dart Moth,Euxoa declarata,Other Moths
Click Beetle,Gambrinus olentangyi,Other Beetles
Cliff Swallow,Petrochelidon pyrrhonota,Birds
Cline'S Trumpet-Net Caddisfly,Plectrocnemia clinei,Caddisflies
Clinton'S Underwing,Catocala clintonii,Underwing Moths
Clio Stripetail,Clioperla clio,Stoneflies
Clothed Giant Caddisfly,Agrypnia vestita,Caddisflies
Clouded Sulphur,Colias philodice,Butterflies and Skippers
Clouded Underwing,Catocala nebulosa,Underwing Moths
Cloudless Sulphur,Phoebis sennae,Butterflies and Skippers
Cloudy Prong-Gilled Mayfly,Leptophlebia nebulosa,Mayflies
Clover Hollow Cave Beetle,Pseudanophthalmus gracilis,Ground Beetles
Club Elimia,Elimia clavaeformis,Freshwater Snails
Clymene Moth,Haploa clymene,Tiger Moths
Coal Elimia,Elimia aterina,Freshwater Snails
Coal Skink,Plestiodon anthracinus,Reptiles
Coalfields Crayfish,Cambarus theepiensis,Crayfishes
Coastal Plain Cooter,Pseudemys floridana,Turtles
Coastal Stone,Neoperla clymene,Stoneflies
Coastal-Plain Ambersnail,Oxyloma effusum,Terrestrial Snails
Coastal-Plain Tigersnail,Anguispira fergusoni,Terrestrial Snails
Cobweb Skipper,Hesperia metea,Butterflies and Skippers
Cold Spring Triaenodes Caddisfly,Triaenodes taenia,Caddisflies
Cole'S Trumpet-Net Caddisfly,Polycentropus colei,Caddisflies
Collared Northern Caddisfly,Limnephilus submonilifer,Caddisflies
Collins'S Mason Bee,Osmia collinsiae,Mason Bees
Colonmoth,Haploa colona,Tiger Moths
Colorful Stripetail,Isoperla slossonae,Stoneflies
Colorless Stripetail,Isoperla orata,Stoneflies
Columbine Duskywing,Erynnis lucilius,Butterflies and Skippers
Comb Snaggletooth Snail,Gastrocopta pentodon,Terrestrial Snails
Comb Supercoil,Paravitrea dentilla,Terrestrial Snails
Comely Shiner,Notropis amoenus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Comet Darner,Anax longipes,Dragonflies and Damselflies
Common Angle,Macaria aequiferaria,Other Moths
Common Arugisa,Arugisa latiorella,Other Moths
Common Arugismoth,Arugisa lutea,Other Moths
Common Buckeye,Junonia coenia,Butterflies and Skippers
Common Carp,Cyprinus carpio,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Common Checkered-Skipper,Burnsius communis,Butterflies and Skippers
Common Claybank Tiger Beetle,Cicindela limbalis,Tiger Beetles
Common Eastern Bumble Bee,Bombus impatiens,Bumble Bees
Common Eider,Somateria mollissima,Birds
Common Five-Lined Skink,Plestiodon fasciatus,Reptiles
Common Flat-Headed Mayfly,Stenacron interpunctatum,Mayflies
Common Gallinule,Gallinula galeata,Birds
Common Gartersnake,Thamnophis sirtalis,Reptiles
Common Gluphisimoth,Gluphisia septentrionis,Notodontid Moths
Common Goldeneye,Bucephala clangula,Birds
Common Grackle,Quiscalus quiscula,Birds
Common Green Darner,Anax junius,Dragonflies and Damselflies
Common Leafcutter Bee,Megachile centuncularis,Leafcutter Bees
Common Least Skipper,Ancyloxypha numitor,Butterflies and Skippers
Common Loon,Gavia immer,Birds
Common Looper Moth,Autographa precationis,Other Moths
Common Lytrosis Moth,Lytrosis unitaria,Other Moths
Common Merganser,Mergus merganser,Birds
Common Metarranthis Moth,Metarranthis hypochraria,Other Moths
Common Mud Turtle,Kinosternon subrubrum,Turtles
Common Muskrat,Ondatra zibethicus,Mammals
Common Nighthawk,Chordeiles minor,Birds
Common Oak Moth,Phoberia atomaris,Other Moths
Common Pinkband Moth,Ogdoconta cinereola,Other Moths
Common Ptichodis,Ptichodis herbarum,Other Moths
Common Raven,Corvus corax,Birds
Common Roachfly,Tallaperla maria,Stoneflies
Common Roadside-Skipper,Amblyscirtes vialis,Butterflies and Skippers
Common Shiner,Luxilus cornutus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Common Small Minnow Mayfly,Baetis tricaudatus,Mayflies
Common Small Square-Gilled Mayfly,Caenis latipennis,Mayflies
Common Snowfly,Allocapnia granulata,Stoneflies
Common Sootywing,Pholisora catullus,Butterflies and Skippers
Common Stone,Acroneuria abnormis,Stoneflies
Common Tern,Sterna hirundo,Birds
Common Watersnake,Nerodia sipedon,Reptiles
Common Wood-Nymph,Cercyonis pegala,Butterflies and Skippers
Common Wormsnake,Carphophis amoenus,Reptiles
Common Yellowthroat,Geothlypis trichas,Birds
Companionable Finger-Net Caddisfly,Chimarra socia,Caddisflies
Companionable Northern Caddisfly,Anabolia consocia,Caddisflies
Compound Coil Snail,Helicodiscus parallelus,Terrestrial Snails
Comstock'S Sallow Moth,Feralia comstocki,Other Moths
Coneflower Borer Moth,Papaipema nelita,Papaipema Moths
Confused Cloudywing,Thorybes confusis,Butterflies and Skippers
Confused Haplomoth,Haploa confusa,Tiger Moths
Confused Meganolmoth,Meganola minuscula,Other Moths
Confused Small Minnow Mayfly,Acentrella turbida,Mayflies
Confusing Bumble Bee,Bombus perplexus,Bumble Bees
Confusing Firefly,Photuris tremulans,Fireflies and Glow-worms
Confusing Stripetail,Isoperla pseudosimilis,Stoneflies
Conhaway Crayfish,Cambarus appalachiensis,Crayfishes
Conifer Swift Moth,Korscheltellus gracilis,Other Moths
Connecticut Warbler,Oporornis agilis,Birds
Connubial Underwing,Catocala connubialis,Underwing Moths
Consanguineous Firefly,Photinus consanguineus,Fireflies and Glow-worms
Constant Free-Living Caddisfly,Rhyacophila invaria,Caddisflies
Contracted Datana,Datana contracta,Notodontid Moths
Cooper'S Hawk,Astur cooperii,Birds
Cope'S Gray Treefrog,Dryophytes chrysoscelis,Amphibians
Copious Humpless Caddisfly,Brachycentrus numerosus,Caddisflies
Copper Button Snail,Mesomphix cupreus,Terrestrial Snails
Copper Dome,Ventridens theloides,Terrestrial Snails
Copper Underwing Moth,Amphipyra pyramidoides,Other Moths
Coral Hairstreak,Satyrium titus,Butterflies and Skippers
Cordial Microcaddisfly,Hydroptila amoena,Caddisflies
Corn Earworm Moth,Helicoverpa zea,Other Moths
Cory'S Shearwater,Calonectris borealis,Birds
Costate Vallonisnail,Vallonia costata,Terrestrial Snails
Costello Microcaddisfly,Agraylea costella,Caddisflies
Cotton Deermouse,Peromyscus gossypinus,Mammals
Cougar,Puma concolor,Mammals
Cow Knob Salamander,Plethodon punctatus,Amphibians
Cow Path Tiger Beetle,Cicindela purpurea,Tiger Beetles
Coyote,Canis latrans,Mammals
Coypu,Myocastor coypus,Mammals
Cracking Pearlymussel,Hemistena lata,Freshwater Mussels
Craig County Cave Amphipod,Stygobromus estesi,Amphipods
Cranberry Leafcutter Bee,Megachile addenda,Leafcutter Bees
Crayfish,Cambarus magerae,Crayfishes
Creek Chub,Semotilus atromaculatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Creeper,Strophitus undulatus,Freshwater Mussels
Creeping Ancylid,Ferrissia rivularis,Freshwater Snails
Creole Pearly-Eye,Lethe creola,Butterflies and Skippers
Crescent Shiner,Luxilus cerasinus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Crested Flebeetle,Diabrotica cristata,Other Beetles
Crested Microcaddisfly,Orthotrichia cristata,Caddisflies
Crested Mudalia,Leptoxis carinata,Freshwater Snails
Crested Snaggletooth,Gastrocopta cristata,Terrestrial Snails
Cricket Coil,Helicodiscus hadenoecus,Terrestrial Snails
Crinkled Ambersnail,Succinea campestris,Terrestrial Snails
Crooked Long-Horned Caddisfly,Ceraclea ancylus,Caddisflies
Crossed Dome,Ventridens decussatus,Terrestrial Snails
Crossline Skipper,Polites origenes,Butterflies and Skippers
Crossroads Cave Beetle,Pseudanophthalmus intersectus,Ground Beetles
Crosswise Long-Horned Caddisfly,Ceraclea transversa,Caddisflies
Crosswise Net-Spinning Caddisfly,Macrostemum transversum,Caddisflies
Cryptic Willowfly,Taeniopteryx nelsoni,Stoneflies
Cumberland Cave Amphipod,Stygobromus cumberlandus,Amphipods
Cumberland Gap Cave Amphipod,Bactrurus angulus,Amphipods
Cumberland Gap Cave Beetle,Pseudanophthalmus hirsutus,Ground Beetles
Cumberland Gap Cave Isopod,Caecidotea cumberlandensis,Isopods
Cumberland Leafshell,Epioblasma stewardsonii,Freshwater Mussels
Cumberland Liptooth,Daedalochila plicata,Terrestrial Snails
Cumberland Moccasinshell,Medionidus conradicus,Freshwater Mussels
Cumberland Monkeyface,Theliderma intermedia,Freshwater Mussels
Cumberland Plateau Salamander,Plethodon kentucki,Amphibians
Cumberland Willowfly,Taeniopteryx ugola,Stoneflies
Cumberlandian Combshell,Epioblasma brevidens,Freshwater Mussels
Cupid Prong-Gilled Mayfly,Leptophlebia cupida,Mayflies
Cupped Vertigo Snail,Vertigo clappi,Terrestrial Snails
Curious Small Minnow Mayfly,Heterocloeon curiosum,Mayflies
Currant Eulithis Moth,Eulithis propulsata,Other Moths
Currant Spanworm Moth,Macaria ribearia,Other Moths
Curved Sallfly,Sweltsa lateralis,Stoneflies
Cutlip Minnow,Exoglossum maxillingua,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Cypress Emerald Moth,Nemoria elfa,Other Moths
Cypress Looper Moth,Iridopsis pergracilis,Other Moths
Cypress Sphinx,Isoparce cupressi,Sphinx Moths
Daily Long-Horned Caddisfly,Nectopsyche diarina,Caddisflies
Daniel'S Cane Borer,Protapamea danieli,Other Moths
Dappled Long-Horned Caddisfly,Setodes guttatus,Caddisflies
Dappled Prong-Gilled Mayfly,Paraleptophlebia guttata,Mayflies
Dark Falsemussel,Mytilopsis leucophaeata,Other Molluscs
Dark Firefly Beetle,Pyropyga nigricans,Fireflies and Glow-worms
Dark Net-Tube Caddisfly,Lype diversa,Caddisflies
Dark Stoneroot Borer Moth,Papaipema duplicatus,Papaipema Moths
Dark Stripetail,Isoperla lata,Stoneflies
Dark Sword Grass Moth,Agrotis ipsilon,Other Moths
Dark Weighted-Case Caddisfly,Goera fuscula,Caddisflies
Dark Willowfly,Oemopteryx contorta,Stoneflies
Dark-Eyed Junco,Junco hyemalis,Birds
Dark-Spotted Palthis Moth,Palthis angulalis,Other Moths
Darling Underwing Moth,Catocala cara,Underwing Moths
Dart Moth,Euxoa fumalis,Other Moths
Dashed Gray Pinion Moth,Lithophane disposita,Other Moths
Deceptive Cave Beetle,Pseudanophthalmus deceptivus,Ground Beetles
Decorated Owlet Moth,Pangrapta decoralis,Other Moths
Decorative-Horned Harp Ground Beetle,Pentagonica picticornis,Ground Beetles
Deep Yellow Euchlaena,Euchlaena amoenaria,Other Moths
Deep-Tooth Shagreen,Inflectarius rugeli,Terrestrial Snails
Deerberry Melitta,Melitta eickworti,Blunt-horn Bees
Deertoe,Truncilla truncata,Freshwater Mussels
Dejected Underwing,Catocala dejecta,Underwing Moths
Dekay'S Brownsnake,Storeria dekayi,Reptiles
Delaware Skipper,Anatrytone logan,Butterflies and Skippers
Delicate Cave Beetle,Pseudanophthalmus delicatus,Ground Beetles
Delicate Hood Caddisfly,Molanna tryphena,Caddisflies
Delicate Vertigo Snail,Vertigo bollesiana,Terrestrial Snails
Delightful Bird-Dropping Moth,Tarache delecta,Other Moths
Dentate Orthotrichian Microcaddisfly,Orthotrichia dentata,Caddisflies
Dentate Supercoil Snail,Paravitrea multidentata,Terrestrial Snails
Depraved Net-Spinning Caddisfly,Hydropsyche depravata,Caddisflies
Depressed Glyph,Glyphyalinia virginica,Terrestrial Snails
Detritus Ambersnail,Mediappendix oklahomarum,Terrestrial Snails
Devil Crawfish,Lacunicambarus diogenes,Crayfishes
Dewalt Stripetail,Isoperla dewalti,Stoneflies
Diamond-Backed Terrapin,Malaclemys terrapin,Turtles
Dianfritillary,Argynnis diana,Butterflies and Skippers
Dickcissel,Spiza americana,Birds
Difficult Northern Caddisfly,Frenesia difficilis,Caddisflies
Digger Bee,Anthophora plumipes,Digger Bees
Digger Crayfish,Creaserinus fodiens,Crayfishes
Dimorphic Eulithis Moth,Eulithis molliculata,Other Moths
Dimple Supercoil,Paravitrea capsella,Terrestrial Snails
Dinky Net-Tube Caddisfly,Psychomyia flavida,Caddisflies
Dion Skipper,Euphyes dion,Butterflies and Skippers
Diplectronan Caddisfly,Diplectrona metaqui,Caddisflies
Dirty Net-Spinning Caddisfly,Cheumatopsyche sordida,Caddisflies
Disc Sprite,Dilatata brogniartiana,Freshwater Snails
Dished Threetooth Snail,Triodopsis vulgata,Terrestrial Snails
Disjunct Looper,Polychrysia morigera,Other Moths
Dismal Swamp Isopod,Conasellus attenuatus,Isopods
Dispersed Northern Caddisfly,Pycnopsyche conspersa,Caddisflies
Distinct Hackle-Gilled Burrowing Mayfly,Anthopotamus distinctus,Mayflies
Distinct Mason Bee,Osmia distincta,Mason Bees
Distinguished Cypress Owlet Moth,Cutina distincta,Other Moths
Divergent Northern Caddisfly,Pycnopsyche divergens,Caddisflies
Diversity Clam Shrimp,Eulimnadia diversa,"Fairy, Clam, and Tadpole Shrimps"
Dixie Cavern Salamander,Plethodon dixi,Amphibians
Dock Rustic Moth,Resapamea passer,Other Moths
Dogbane Tiger Moth,Cycnia tenera,Tiger Moths
Dogwood Thyatirid Moth,Euthyatira pudens,Other Moths
Doll'S Dagger Moth,Acronicta dolli,Other Moths
Dollar Sunfish,Lepomis marginatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Domed Disc,Discus patulus,Terrestrial Snails
Dot-Footed Long-Horned Caddisfly,Ceraclea tarsipunctata,Caddisflies
Dot-Lined Wave,Idaea tacturata,Other Moths
Dot-Lined White Moth,Artace cribrarius,Other Moths
Dotted Flat-Headed Mayfly,Epeorus punctatus,Mayflies
Dotted Gray,Glena cribrataria,Other Moths
Dotted Long-Horned Caddisfly,Ceraclea punctata,Caddisflies
Dotted Skipper,Hesperia attalus,Butterflies and Skippers
Dotted Small Square-Gilled Mayfly,Caenis punctata,Mayflies
Double-Banded Zale Moth,Zale calycanthata,Other Moths
Double-Crested Cormorant,Nannopterum auritum,Birds
Double-Lined Prominent,Lochmaeus bilineata,Notodontid Moths
Double-Ringed Pennant,Celithemis verna,Dragonflies and Damselflies
Double-Toothed Prominent Moth,Nerice bidentata,Notodontid Moths
Doubled Microcaddisfly,Oxyethira dualis,Caddisflies
Doubtful Long-Horned Caddisfly,Setodes incertus,Caddisflies
Doubtful Mountain Caddisfly,Apatania incerta,Caddisflies
Dovekie,Alle alle,Birds
Downy Woodpecker,Dryobates pubescens,Birds
Drab Itame,Macaria evagaria,Other Moths
Drab Prominent,Misogada unicolor,Notodontid Moths
Dragon Run Stone,Perlesta roblei,Stoneflies
Dreamy Duskywing,Erynnis icelus,Butterflies and Skippers
Drexel'S Datana,Datana drexelii,Notodontid Moths
Dromedary Pearlymussel,Dromus dromas,Freshwater Mussels
Dubious Small Minnow Mayfly,Plauditus dubius,Mayflies
Dukes' Skipper,Euphyes dukesi,Butterflies and Skippers
Dull Reddish Dart Moth,Xestia dilucida,Other Moths
Dun Skipper,Euphyes vestris,Butterflies and Skippers
Dunlin,Calidris alpina,Birds
Dusky Ancylid,Laevapex fuscus,Freshwater Snails
Dusky Apamemoth,Apamea plutonia,Other Moths
Dusky Azure,Celastrina nigra,Butterflies and Skippers
Dusky Button,Mesomphix capnodes,Terrestrial Snails
Dusky Dancer,Argia translata,Dragonflies and Damselflies
Dusky Darter,Percina sciera,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Dusky Flat-Headed Mayfly,Heptagenia pulla,Mayflies
Dusky Fossaria,Galba dalli,Freshwater Snails
Dusky Free-Living Caddisfly,Rhyacophila fuscula,Caddisflies
Dusky Little Caddisfly,Neophylax fuscus,Caddisflies
Dusky Roadside-Skipper,Amblyscirtes alternata,Butterflies and Skippers
Dusky Sallfly,Alloperla biserrata,Stoneflies
Duskytail Darter,Etheostoma percnurum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Dusted Skipper,Atrytonopsis hianna,Butterflies and Skippers
Dwarf Mason Bee,Osmia pumila,Mason Bees
Dwarf Waterdog,Necturus punctatus,Amphibians
Dwarf Wedgemussel,Prolasmidonta heterodon,Freshwater Mussels
Eared Free-Living Caddisfly,Rhyacophila otica,Caddisflies
Early Hairstreak,Erora laeta,Butterflies and Skippers
Eastern Beach Tiger Beetle,Habroscelimorpha dorsalis,Tiger Beetles
Eastern Black Kingsnake,Lampropeltis nigra,Reptiles
Eastern Blacknose Dace,Rhinichthys atratulus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Eastern Bluebird,Sialia sialis,Birds
Eastern Buckmoth,Hemileuca maia,Giant Silkworm and Royal Moths
Eastern Carpenter Bee,Xylocopa virginica,Carpenter Bees
Eastern Chipmunk,Tamias striatus,Mammals
Eastern Comma,Polygonia comma,Butterflies and Skippers
Eastern Copperhead,Agkistrodon contortrix,Reptiles
Eastern Cottontail,Sylvilagus floridanus,Mammals
Eastern Creek Chubsucker,Erimyzon oblongus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Eastern Cricket Frog,Acris crepitans,Amphibians
Eastern Elliptio,Elliptio complanata,Freshwater Mussels
Eastern Fairy Shrimp,Eubranchipus holmanii,"Fairy, Clam, and Tadpole Shrimps"
Eastern Fence Lizard,Sceloporus undulatus,Reptiles
Eastern Floater,Pyganodon cataracta,Freshwater Mussels
Eastern Forestfly,Amphinemura delosa,Stoneflies
Eastern Fox Squirrel,Sciurus niger,Mammals
Eastern Free-Living Caddisfly,Rhyacophila ledra,Caddisflies
Eastern Glass Lizard,Ophisaurus ventralis,Reptiles
Eastern Gray Squirrel,Sciurus carolinensis,Mammals
Eastern Green Drake Mayfly,Ephemera guttulata,Mayflies
Eastern Harvest Mouse,Reithrodontomys humulis,Mammals
Eastern Hog-Nosed Snake,Heterodon platirhinos,Reptiles
Eastern Kingbird,Tyrannus tyrannus,Birds
Eastern Kingsnake,Lampropeltis getula,Reptiles
Eastern Lampmussel,Lampsilis radiata,Freshwater Mussels
Eastern Meadow Vole,Microtus pennsylvanicus,Mammals
Eastern Meadowlark,Sturnella magna,Birds
Eastern Melampus,Melampus bidentatus,Other Molluscs
Eastern Milksnake,Lampropeltis triangulum,Reptiles
Eastern Mole,Scalopus aquaticus,Mammals
Eastern Mosquitofish,Gambusia holbrooki,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Eastern Mudminnow,Umbra pygmaea,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Eastern Musk Turtle,Sternotherus odoratus,Turtles
Eastern Narrow-Mouthed Toad,Gastrophryne carolinensis,Amphibians
Eastern Needlefly,Leuctra ferruginea,Stoneflies
Eastern Net-Spinning Caddisfly,Cheumatopsyche ela,Caddisflies
Eastern Newt,Notophthalmus viridescens,Amphibians
Eastern Panthemoth,Panthea furcilla,Other Moths
Eastern Phoebe,Sayornis phoebe,Birds
Eastern Pine Elfin,Callophrys niphon,Butterflies and Skippers
Eastern Pinebarrens Tiger Beetle,Cicindela abdominalis,Tiger Beetles
Eastern Pinesnake,Pituophis melanoleucus,Reptiles
Eastern Pondhorn,Uniomerus carolinianus,Freshwater Mussels
Eastern Pondmussel,Sagittunio nasutus,Freshwater Mussels
Eastern Pygmy Shrew,Sorex hoyi,Mammals
Eastern Ratsnake,Pantherophis alleghaniensis,Reptiles
Eastern Red Bat,Lasiurus borealis,Mammals
Eastern Red Damsel,Amphiagrion saucium,Dragonflies and Damselflies
Eastern Red-Backed Salamander,Plethodon cinereus,Amphibians
Eastern Red-Bellied Tiger Beetle,Cicindela rufiventris,Tiger Beetles
Eastern Ribbonsnake,Thamnophis saurita,Reptiles
Eastern Screech-Owl,Megascops asio,Birds
Eastern Silvery Minnow,Hybognathus regius,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Eastern Small-Footed Myotis,Myotis leibii,Mammals
Eastern Snail Shell Mason Bee,Osmia conjuncta,Mason Bees
Eastern Snowfly,Allocapnia recta,Stoneflies
Eastern Spadefoot,Scaphiopus holbrookii,Amphibians
Eastern Stone,Acroneuria arenosa,Stoneflies
Eastern Tailed-Blue,Cupido comyntas,Butterflies and Skippers
